,Trait Accession,Trait Name,odds ratio,exact p-value,adj p-value,Total number of related genes in database,Number of related genes in user/study list
273,TO_0000316,photosynthetic ability,0.915593088,1,1,296,4
274,TO_0000015,oxygen sensitivity,0.624572468,1,1,108,1
275,TO_0006056,molybdenum content,0.968842692,1,1,140,2
276,TO_0000526,sodium concentration,0.932592119,1,1,436,6
277,TO_0002700,pungency,0.68902146,1,1,98,1
278,TO_0000429,salt sensitivity,0.984813189,1,1,1584,23
279,TO_0000552,shoot dry weight,0.976320093,1,1,903,13
280,TO_0000624,allelopathic effect,0.887227517,1,1,229,3
281,TO_0000051,stem strength,0.885331995,1,1,153,2
282,TO_0020095,stomatal process related trait,0.926106446,1,1,439,6
283,TO_0000019,seedling height,0.901543666,1,1,676,9
284,TO_0000607,ash content,0.899529915,1,1,527,7
285,TO_0000158,red light sensitivity,0.630470159,1,1,107,1
286,TO_0000727,sporogenesis,0.892355213,1,1,607,8
