,Ontology Term,Preferred Name,odds ratio,exact p-value,adj p-value,Reference Genes,User/Study Genes
73,TO_0000075,light sensitivity,2.2242289312100283,2.3351538592754687e-07,9.97173810177092e-07,832,56
74,TO_0000511,phosphorus uptake,2.5591591875295228,3.0323574798461845e-07,1.277633284841859e-06,534,41
75,TO_0000130,far red light sensitivity,8.643415551839466,3.795356955036889e-07,1.578069470778496e-06,50,11
76,TO_0000537,flower color,3.5431604119905185,4.7249857018695227e-07,1.939085041286713e-06,232,24
77,TO_0000409,peak viscosity,4.526652176047632,5.33482314758032e-07,2.161287326455617e-06,140,18
78,TO_0006018,organ identity,1.5493226950292331,5.72519263378758e-07,2.290077053515032e-06,3387,161
79,TO_0001013,lateral root number,0.5597211883647372,6.188063684688483e-07,2.444285155451951e-06,3620,66
80,TO_0000019,seedling height,2.3003604592517877,7.591803913444409e-07,2.9617407859857198e-06,676,47
81,TO_0000734,grain length,1.7062235364506628,7.935863863669206e-07,3.0582109523408157e-06,2047,107
82,TO_0002691,peduncle length,2.463773544520548,1.008632010363742e-06,3.840092955119789e-06,553,41
83,TO_0001024,phosphorus content,5.502939269052948,1.2411416645270472e-06,4.669056737982701e-06,92,14
84,TO_0000531,anther length,4.456855519729771,1.318820097627987e-06,4.902907657064046e-06,134,17
85,TO_0002730,grain shape,3.001565304803619,2.7985085215262974e-06,1.0282891776771046e-05,292,26
86,TO_0000008,potassium sensitivity,4.3421443621696465,3.605345521444412e-06,1.3095277985936024e-05,129,16
87,TO_0000259,heat tolerance,1.540285841572036,5.30224814210093e-06,1.9039891055726066e-05,2870,136
88,TO_0000319,rubisco content,3.199887878329904,6.212985710356879e-06,2.2059589713177233e-05,233,22
89,TO_0000612,grain density,0.4347813188530978,6.7655689558571256e-06,2.375466433389835e-05,1697,24
90,TO_0006055,selenium content,2.2610243768830456,7.509158030839698e-06,2.607575755764115e-05,584,40
91,TO_0000552,shoot dry weight,1.9580207739264004,1.3605328592668279e-05,4.67313460356867e-05,903,54
92,TO_0000137,days to heading,0.6592968002831474,1.5835751824302433e-05,5.3807500822360954e-05,4764,102
